pdf_id,archivo,titulo,notebook_A,notebook_B,notebook_C,notebook_D,codex_A,codex_B,codex_C,codex_D,codex_notas,gemini_A,gemini_B,gemini_C,gemini_D,gemini_notas,claude_A,claude_B,claude_C,claude_D,claude_notas,notebook_vs_codex_ABCD,notebook_vs_codex_D,notebook_vs_gemini_ABCD,notebook_vs_gemini_D,notebook_vs_claude_ABCD,notebook_vs_claude_D,D_consenso_4,D_mayoria
11,00109_Arquivo_Brasileiro_de_Medicina_2023.pdf,Molecular prevalence of Mycoplasma parvum in production cycle of technified swine herds,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,"Aunque hay calculo muestral, la adhesion voluntaria de granjas rompe base probabilistica.",1,1,1,FF con reconocimiento,"Muestreo de granjas voluntario (no probabilístico) y se extrapola la prevalencia a la población de granjas tecnificadas de São Paulo, aunque se menciona la participación voluntaria.",1,0,1,FF clasica,"Granjas seleccionadas voluntariamente (20 de 41), con muestreo probabilístico de animales pero extrapolación a 'granjas tecnificadas de São Paulo' sin advertencia sobre sesgo de selección.",igual,igual,igual,igual,difiere,difiere,3_de_4,FF con reconocimiento
12,00110_Arquivo_Brasileiro_de_Medicina_2023.pdf,Occurrence of Salmonella spp. in the broiler production chain,1,1,1,FF con reconocimiento,0,1,1,Debilidad importante,"Hay posible sesgo operativo, pero no A de muestreo no probabilistico.",1,1,1,FF con reconocimiento,"Muestreo no probabilístico (7 mataderos específicos, sesgo en recolección) con inferencia estadística y extrapolación a la industria avícola, aunque se advierten limitaciones de muestreo.",1,1,1,FF con reconocimiento,"Muestreo con sesgos sistemáticos no aleatorios (43.6% muestras lunes, 62.6% primer turno). Advierte sesgo de implementación pero extrapola resultados a cadena regional.",difiere,difiere,igual,igual,igual,igual,3_de_4,FF con reconocimiento
13,00131_Ciência_Animal_Brasileira_2025.pdf,Abscesso peri-hepático associado à síndrome de indigestão vagal em bovinos: estudo retrospectivo,1,0,1,FF clasica,0,0,0,Sin falla relevante,Caso retrospectivo clinico; no corresponde A&C aunque haya porcentajes.,0,0,0,No evaluable,El estudio es una serie de casos retrospectiva que utiliza solo estadística descriptiva y no realiza inferencia estadística formal a una población mayor.,0,0,0,No evaluable,Serie clínica retrospectiva descriptiva. Usa explícitamente 'estatística descritiva' sin inferencia estadística formal. No hay población objetivo de referencia; objetivo es caracterizar hallazgos de 1,difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,No evaluable
14,00132_Ciência_Animal_Brasileira_2025.pdf,Antimicrobial resistance in ovine production: maternal-descendant similarities in Coliforms and Enterococcus spp.,1,1,1,FF con reconocimiento,0,0,0,Sin falla relevante,"Estudio animal controlado, no muestreo poblacional.",1,1,1,FF con reconocimiento,"Muestreo por conveniencia (26 ovelhas) con inferencia y extrapolación a la producción ovina, pero se reconoce la necesidad de estudios específicos para generalizar.",1,0,1,FF clasica,"Muestra no probabilística (26 ovejas de biotério); generaliza a 'producción ovina' en título, objetivos y conclusiones sin advertir suficientemente limitaciones muestrales.",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF con reconocimiento
15,00137_Ciência_Animal_Brasileira_2023.pdf,Achados epidemiológicos e anatomopatológicos de úlceras do abomaso tipo 1 e 2 em bovinos com diferentes comorbidades primárias,1,0,1,FF clasica,0,1,0,Sin falla relevante,Serie clinico-patologica retrospectiva; no A&C.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia de animales internados) y extrapolación implícita de hallazgos epidemiológicos a una población mayor de bovinos sin advertir explícitamente las limitaciones.,0,0,0,No evaluable,Serie de casos retrospectiva de una institución. Sin proceso de muestreo descrito ni población objetivo definida. Análisis descriptivo de cohorte institucional.,difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
16,00138_Ciência_Animal_Brasileira_2023.pdf,Estratégias de vedação na ensilagem de milho e desempenho de ovinos em confinamento,1,0,1,FF clasica,0,0,0,Sin falla relevante,Estudio experimental animal; no falla por muestreo poblacional.,1,0,1,FF clasica,Muestreo no probabilístico (conveniencia) de 18 corderos y extrapolación explícita a la población de corderos Dorper x Santa Inês sin advertir la limitación.,0,0,0,No evaluable,"Experimento agrícola controlado. Los 18 corderos son unidades experimentales asignadas a tratamientos (vedación silaje), no muestra de población objetivo. Sin pregunta muestral clásica.",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
17,00140_Ciência_Animal_Brasileira_2023.pdf,"Soroepidemiologia de leptospirose em equinos da região de Santarém, Pará",1,0,1,FF clasica,1,0,1,FF clasica,Encuesta seroepidemiologica regional desde muestra no probabilistica.,1,0,1,FF clasica,"Muestreo no probabilístico (conveniencia) y extrapolación explícita de los resultados a la población equina de Santarém-Pará y sus implicaciones para la salud pública, sin advertir las limitaciones.",1,0,1,FF clasica,Muestreo no probabilístico (sin descripción de procedimiento de selección de 15 propiedades ni de 88 caballos) con extrapolación a región de Santarém-Pará; no advierte limitaciones muestrales explícit,igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
18,00158_Ensaio_2024.pdf,How did women and men react to remote Education during the pandemic? The cases of Portugal and Russia,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Convenience sample con conclusiones comparativas por pais/genero.,1,1,1,FF con reconocimiento,"Muestreo no probabilístico (conveniencia). Aunque advierten que los resultados no son generalizables, la presentación de los hallazgos y el uso de inferencia estadística sugieren una extrapolación imp",1,1,0,Debilidad importante,"Muestreo de conveniencia explícito (Portugal n=113, Rusia n=752). Autores advierten 'no generalizable' pero aplican tests inferenciales (Mann-Whitney U, factor analysis) que presuponen generalización.",igual,igual,igual,igual,difiere,difiere,3_de_4,FF con reconocimiento
19,00200_Horizonte_2021.pdf,“Sem religião” ou pluralismo religioso? Uma leitura introdutória,1,1,1,FF con reconocimiento,1,1,0,No evaluable,No deberia integrar denominador auditable como falla A&C; es articulo teorico-interpretativo con datos secundarios/previos.,1,0,1,FF clasica,Usa muestras no probabilísticas (estudiantes universitarios de conveniencia en Goiás) y extrapola explícitamente los hallazgos a la población brasileña general sin advertir adecuadamente las limitacio,1,1,0,Debilidad importante,P1 (n=80) y P2 (n≈900) son muestras no-probabilísticas de estudiantes universitarios de una institución privada. No extrapolan explícitamente a población brasileña; usan datos como evidencia interpret,difiere,difiere,difiere,difiere,difiere,difiere,sin_consenso,FF con reconocimiento
20,00253_Ornamental_Horticulture_2025.pdf,Planning and evaluation of rooftop garden designs: A survey-based assessment study at faculty of Agriculture,1,0,1,FF clasica,0,0,0,Sin falla relevante,Hay muestra aleatoria declarada y alcance local de diseno.,1,0,1,FF clasica,Muestreo no probabilístico (especialistas y usuarios sin método claro) y extrapolación implícita de preferencias a una población mayor sin advertir limitaciones.,0,0,0,No evaluable,"Estudio evaluativo local. Aunque incluye muestra de usuarios (n=109), el objetivo es evaluar 3 diseños específicos en UNA institución con análisis puramente descriptivo (porcentajes). Sin inferencia e",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
21,00257_Ornamental_Horticulture_2024.pdf,Ornamental peppers: there is some accounting for taste,1,0,1,FF clasica,1,0,1,FF clasica,Encuesta online no probabilistica con perfilamiento de consumidores.,1,1,1,FF con reconocimiento,"El estudio usó muestreo no probabilístico (redes de contacto) y generalizó explícitamente los resultados a la población brasileña, aunque reconoció el sesgo muestral en la discusión.",1,1,1,FF con reconocimiento,"Muestreo por conveniencia (redes de contacto, redes sociales, emails). Reconoce sesgo hacia perfil de autores pero generaliza a Brasil. Extrapola conclusiones a nivel nacional sin limitar inferencias.",igual,igual,difiere,difiere,difiere,difiere,2_de_4,FF clasica
22,00296_Revista_Brasileira_de_Agroecol_2024.pdf,"Caracterização dos agroecossistemas de açaí-do-amazonas em Codajás, Amazonas - Brasil",1,0,1,FF clasica,1,0,1,FF clasica,Muestra pequena no probabilistica con lectura municipal/cadena productiva.,1,0,1,FF clasica,Muestreo intencional no probabilístico (15 agroextractivistas) con extrapolación implícita de resultados descriptivos a la población de Codajás sin advertir limitaciones.,1,0,1,Debilidad importante,"Muestreo intencional de 15 casos sin inferencia estadística formal. Análisis exclusivamente descriptivo; sin pruebas, IC ni extrapolación paramétrica a población mayor de agroextractivistas.",igual,igual,igual,igual,difiere,difiere,3_de_4,FF clasica
23,00297_Revista_Brasileira_de_Agroecol_2024.pdf,Diversity and location: key elements to the production of agroecological technical novelties by smallholders,1,0,1,FF clasica,1,1,0,No evaluable,No es inferencia estadistica poblacional; IA parece penalizar muestreo cualitativo intencional.,1,0,1,FF clasica,Muestreo no probabilístico (intencional) y conclusiones extrapoladas a agricultores familiares sin advertir limitaciones.,0,0,0,No evaluable,"Estudio cualitativo-descriptivo sin inferencia estadística. Usa muestreo intencional (técnica estándar en investigación cualitativa), análisis temático y estadística descriptiva (frecuencias, conteos)",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
24,00313_Revista_Brasileira_de_Engenhar_2024.pdf,Influence of good practices training and milking systems on standard plate count of dairy properties in a municipality in the interior of São Paulo state,1,1,0,Debilidad importante,1,1,0,Debilidad importante,"Intervencion local; debilidad posible, pero no A&C fuerte.",1,0,1,FF clasica,Muestreo de voluntarios ('expressing interest in participating') y se generalizan las conclusiones sobre la efectividad de la intervención a 'small-scale dairy farms' sin advertir las limitaciones.,1,0,0,Debilidad importante,"Muestreo de voluntarios (14/64 productores que expresaron interés) sin advertencia explícita de sesgo de selección. Alcance limitado a Bastos mitiga extrapolación, pero no elimina problema muestral.",igual,igual,difiere,difiere,difiere,igual,3_de_4,Debilidad importante
25,00319_Revista_Brasileira_de_Engenhar_2022.pdf,Broiler production efficiency: An analysis using thermal infrared images,1,0,0,Debilidad importante,1,0,1,FF clasica,Generaliza eficiencia productiva desde dos unidades seleccionadas.,1,0,1,FF clasica,Muestreo no probabilístico (dos granjas seleccionadas por conveniencia) y extrapolación explícita de resultados a la eficiencia económica general de productores sin advertir limitaciones.,0,0,0,No evaluable,"Estudio comparativo de 2 granjas seleccionadas por conveniencia. Problema metodológico (validación de tecnología), no epidemiológico-poblacional con población objetivo clara.",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
26,00343_Revista_Brasileira_de_Saúde_e_2025.pdf,Canine infection by Ehrlichia canis and Anaplasma platys in the semiarid region of Brazil: frequency and molecular characterization,1,0,1,FF clasica,1,1,1,FF con reconocimiento,Conveniencia hospitalaria con inferencia regional.,1,1,1,FF con reconocimiento,"Muestreo de conveniencia en hospital veterinario. Se reconoce que la alta ocurrencia es esperada en esta población, pero se extrapola la endemicidad a la población canina urbana.",1,0,1,FF clasica,Muestra de conveniencia (hospital) presentada como 'survey' de la región semiárida. Extrapolación a 'poblaciones caninas urbanas' y 'diferentes áreas geográficas de Brasil' sin advertencia clara de li,difiere,difiere,difiere,difiere,igual,igual,2_de_4,FF clasica
27,00345_Revista_Brasileira_de_Saúde_e_2024.pdf,Antimicrobial resistance of bacterial agents of bovine mastitis from dairy properties in the metropolitan region of São Luís – MA,1,0,1,FF clasica,1,0,1,FF clasica,Lectura regional desde propiedades no probabilisticas.,1,0,1,FF clasica,Muestreo no probabilístico (14 fincas de conveniencia) y extrapolación explícita de los resultados a la región metropolitana sin advertir las limitaciones.,0,0,0,No evaluable,"Estudio traslacional con muestras clínicas de laboratorio (leche de vacas). Conclusión principal biológica (patrones de resistencia bacteriana in vitro), no epidemiológica de población animal.",igual,igual,igual,igual,difiere,difiere,3_de_4,FF clasica
28,00349_Revista_Brasileira_de_Saúde_e_2023.pdf,Estimate of the canine and feline population in a municipality of thenortheastsemi-arid: a view on responsible owner ship,0,1,1,Sin falla relevante,0,0,1,Debilidad importante,No cumple A; por tanto no es falla fuerte A&C.,0,0,1,Sin falla relevante,"El estudio usa muestreo probabilístico estratificado y selección por sorteo para estimar la población animal y el conocimiento de tutores en el área urbana, diseño apropiado para la inferencia.",0,0,1,Sin falla relevante,Muestreo probabilístico estratificado con n calculado según fórmula estándar. Extrapolación de ratios animal:habitante al municipio sin pretender generalizar a contextos diferentes. No cumple A&C junt,difiere,difiere,difiere,igual,difiere,igual,3_de_4,Sin falla relevante
29,00350_Revista_Brasileira_de_Saúde_e_2023.pdf,Productive diagnosis offrog culture in the state of Rio de Janeiro,1,0,1,FF clasica,1,0,1,FF clasica,"Cobertura parcial relevante, pero no probabilistica y con lectura estatal.",1,0,1,FF clasica,"Muestreo no probabilístico (difusión en grupo digital y contacto telefónico) con una muestra pequeña (11 productores) que se usa para describir y generalizar el ""escenario actual de la ranicultura en ",1,0,1,FF clasica,"Encuesta a 11 productores por difusión digital y contacto telefónico (conveniencia, no aleatorio). Extrapola explícitamente hallazgos a toda la ranicultura en Rio de Janeiro sin advertir sobre sesgos ",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
30,00351_Revista_Brasileira_de_Zootecni_2022.pdf,"Comparison of reproductive performance, live weight, survivability, and fleece characteristics of indoor-raised Central Anatolian Merino and Malya sheep",0,0,0,Sin falla relevante,1,0,1,FF clasica,Comparacion inferencial de razas desde animales seleccionados.,1,0,1,FF clasica,"Muestreo de conveniencia en una sola granja, sin advertir limitaciones, y se extrapola implícitamente a las razas en general para contribuir a estudios de cría.",1,0,1,FF clasica,Animales obtenidos de una granja específica en Ankara (muestreo de conveniencia). Generalizan sobre razas CAM y Malya sin advertir limitaciones geográficas/contextuales. Frases como 'Merino genotype h,difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,FF clasica
31,00354_Revista_Brasileira_de_Zootecni_2018.pdf,Characterization of a non-industrial pig production system: the case of Bísaro breed,1,0,1,FF clasica,1,0,1,FF clasica,"Intento cercano a censo de asociación, pero la baja respuesta voluntaria introduce autoselección; mantiene inferencia al sistema productivo.",1,0,1,FF clasica,Muestreo no probabilístico (baja tasa de respuesta de una encuesta por correo a voluntarios) y se extrapola explícitamente a la población de productores sin advertir adecuadamente las limitaciones.,1,0,1,FF clasica,"Muestra de respuesta voluntaria (31.4%, n=59/194). Los autores generalizan al 'sistema de producción Bísaro' sin reconocer riesgo de sesgo de no-respuesta. Justifican correo vs. web pero no discuten r",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
32,00355_Revista_Brasileira_de_Zootecni_2018.pdf,Effectiveness of the morphofunctional evaluation method of Campolina and Mangalarga Marchador breeds,0,0,0,Sin falla relevante,0,0,0,Sin falla relevante,No corresponde marcar A&C: el problema central no es extrapolación desde muestra no probabilística sino análisis de registros de concursos.,1,0,1,FF clasica,"Muestreo no probabilístico (caballos de exhibición nacional, 'mejores especímenes') y extrapolación explícita a las razas y generaciones futuras sin advertir la limitación inferencial.",1,1,1,FF con reconocimiento,No-probabilístico (concursos únicamente). Reconocen limitaciones pero extrapolan a futuras generaciones sin datos. Conclusión sobre método de selección no fundamentada en datos de descendencia.,igual,igual,difiere,difiere,difiere,difiere,2_de_4,Sin falla relevante
33,00357_Revista_Brasileira_de_Zootecni_2016.pdf,"Behaviour, heart rate, and heart rate variability in pigs exposed to novelty",1,0,1,FF clasica,0,0,0,Sin falla relevante,Diseño experimental animal; no encaja en la falla A&C de encuesta/muestreo humano no probabilístico.,1,0,1,FF clasica,Muestreo no probabilístico (intencional por frecuencia de mordida) y se extrapolan las conclusiones a la población general de cerdos sin advertir las limitaciones.,0,0,0,No evaluable,"Diseño experimental comparativo, no muestreo inferencial. Intervenciones estandarizadas (novel object/arena tests) comparan razas y sexos. Objetivo es comparación de grupos bajo condiciones controlada",difiere,difiere,igual,igual,difiere,difiere,2_de_4,FF clasica
34,00359_Revista_Brasileira_de_Zootecni_2014.pdf,Effects of supplementation of calcium salts of polyunsaturated fatty acids on serum concentrations of progesterone and insulin of pregnant dairy cows,1,0,1,FF clasica,0,0,0,Sin falla relevante,No hay encuesta o muestreo no probabilístico con extrapolación poblacional.,0,0,0,No evaluable,"El estudio es un experimento controlado con animales de granja, no un estudio observacional o epidemiológico que requiera muestreo inferencial de una población objetivo en sentido social/epidemiológic",0,0,0,No evaluable,Experimento agrícola/veterinario con asignación aleatoria de tratamientos en granja comercial. No es estudio de muestreo inferencial poblacional sino prueba de eficacia de intervención dietética.,difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,No evaluable
35,00473_Sophia_Austral_2026.pdf,"Optimistas, escépticos o temerosos: Perfiles actitudinales frente a la Inteligencia Artificial Generativa en la Facultad de Educación y Ciencias Sociales de la Universidad de Magallanes",1,1,1,FF con reconocimiento,1,0,1,FF clasica,No se documenta selección probabilística; los resultados se proyectan a la comunidad facultativa.,1,0,0,Debilidad importante,"Muestreo no probabilístico (voluntario/conveniencia) para caracterizar una población definida (facultad), lo que limita la inferencia estadística a dicha población.",1,0,1,FF clasica,"Muestreo no probabilístico (autoselección, 13.2% tasa respuesta de ~730 personas), pero extracta conclusiones a 'entornos educativos' y 'políticas institucionales' sin advertir limitaciones inferencia",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
36,00474_Sophia_Austral_2025.pdf,La escritura epistémica en el sistema educativo chileno: percepción del profesorado,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,"Aunque reconoce la limitación de tamaño muestral, sí combina muestra acotada con inferencias/recomendaciones amplias.",1,0,1,FF clasica,Muestreo no probabilístico (10 profesores) y extrapolación implícita a 'el profesorado' o 'sistema educativo chileno' sin advertir explícitamente las limitaciones de generalización.,0,0,0,No evaluable,Estudio exploratorio-descriptivo con n=10 docentes de conveniencia. No utiliza inferencia estadística formal (solo porcentajes descriptivos). Sin pregunta muestral clásica ni metodología de muestreo p,igual,igual,difiere,difiere,difiere,difiere,2_de_4,FF con reconocimiento
37,00476_Sophia_Austral_2025.pdf,"Creencias sobre democracia, buena ciudadanía y vida cívica en estudiantes de primer año de Pedagogías",1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,"Hay A, pero no veo C suficientemente fuerte para clasificar A&C.",1,1,0,Debilidad importante,"Muestreo no probabilístico intencionado limita la representatividad de los hallazgos, aunque los autores reconocen esta limitación y acotan las conclusiones a la muestra.",1,1,0,Debilidad importante,"Muestreo no probabilístico intencionado (A=Si), pero sin extrapolación explícita a población mayor (C=No). Conclusiones acotadas a una universidad. Reconocen limitaciones.",difiere,difiere,difiere,difiere,difiere,difiere,3_de_4,Debilidad importante
38,00479_Sophia_Austral_2025.pdf,"Hacia una caracterización del perfil docente universitario de nuevo ingreso. Competencias, percepciones y desafíos institucionales",1,0,1,FF clasica,1,0,1,FF clasica,"La IA lo dejó pasar, pero el texto declara explícitamente muestra no probabilística y generaliza al perfil docente institucional.",1,1,0,Debilidad importante,"El estudio usa muestreo no probabilístico, pero sus conclusiones se acotan a la universidad estudiada sin extrapolar explícitamente a una población mayor. Además, advierte sobre el tipo de muestreo.",1,1,0,Debilidad importante,"Muestreo no probabilístico intencional (submuestra teórica por facultad), pero conclusiones acotadas explícitamente a Universidad Arturo Prat sin extrapolación a población docente mayor.",igual,igual,difiere,difiere,difiere,difiere,2_de_4,FF clasica
39,00504_Ciencia_y_Tecnología_Agropecua_2024.pdf,"Factores genéticos y ambientales que afectan la permanencia productiva en ganado Holstein, Suizo Pardo y sus cruzas recíprocas",1,1,1,FF con reconocimiento,1,0,1,FF clasica,Base local no probabilística con inferencia a desempeño de genotipos; A&C razonable.,1,0,1,FF clasica,Muestreo no probabilístico de un único sitio experimental y extrapolación explícita a ganado lechero en condiciones subtropicales de México sin advertir la limitación.,1,0,1,Debilidad importante,"Muestreo de una única granja experimental sin probabilismo (n=171 vacas, 1996-2011). Busca contribuir al conocimiento sobre ganado lechero subtropical mexicano, pero extrapolación implícita sin advert",difiere,difiere,difiere,difiere,difiere,difiere,2_de_4,FF clasica
40,00507_Ciencia_y_Tecnología_Agropecua_2023.pdf,"Fasciola hepática como causal de decomiso de hígados en bovinos faenados en la provincia de Huaura, Perú",1,0,1,FF clasica,1,0,1,FF clasica,"Aunque usa registros de faena, la inferencia sanitaria se proyecta al área de influencia; la selección depende de animales faenados en ese centro y periodo.",1,0,1,FF clasica,Muestreo no probabilístico (conveniencia/consecutivo en un solo matadero por 4 meses) y se extrapola explícitamente a la provincia de Huaura sin advertir esta limitación.,1,0,1,FF clasica,"Datos de 2198 bovinos de matadero (muestreo consecutivo/conveniencia) analizados con inferencia estadística (IC, chi-cuadrado). Concluyen explícitamente sobre 'prevalencia en bovinos de la provincia d",igual,igual,igual,igual,igual,igual,unanimidad,FF clasica
