pdf_id,A,B,C,D,notas,revisor
91,0,0,0,Sin falla relevante,"Falso positivo IA: muestra biologica de murcielagos/hongos, fuera de la falla A&C humana/social.",codex_gpt
92,1,0,1,FF clasica,Falla A&C: sujetos humanos/pacientes por muestra intencional y asociaciones clinicas extrapoladas.,codex_gpt
93,0,0,0,Sin falla relevante,"Falso positivo IA: estudio molecular con tejidos/celulas, no A&C humano-social.",codex_gpt
94,0,0,0,Sin falla relevante,"Falso positivo IA: estudio oncologico de bases/celulas, no la falla A&C que estamos midiendo.",codex_gpt
95,0,0,0,Sin falla relevante,"Falso positivo IA: muestra clinica/biomolecular, fuera del blanco A&C social.",codex_gpt
96,0,0,0,Sin falla relevante,"Falso positivo IA: estudio proteomico infantil, no A&C humano-social.",codex_gpt
97,0,0,0,Sin falla relevante,Acuerdo: no aplica falla A&C por ausencia de muestra empirica.,codex_gpt
98,1,0,0,Debilidad importante,"No falla fuerte: muestra cualitativa pequena, pero alcance exploratorio/caso.",codex_gpt
99,1,0,0,Debilidad importante,"No falla fuerte: caso educativo institucional, sin C fuerte.",codex_gpt
100,1,1,1,FF con reconocimiento,Falla A&C con B=1: reclutamiento online de conveniencia y recomendaciones generales para cuidadores.,codex_gpt
101,1,1,1,FF con reconocimiento,Falla A&C con reconocimiento: muestra pequena/conveniencia y generalizacion preliminar clinica.,codex_gpt
102,1,0,1,FF clasica,Falla A&C: muestra pequena por invitacion/referencia y conclusion general sobre adultos mayores.,codex_gpt
103,0,0,0,Sin falla relevante,"Falso positivo IA: muestra de insectos, no falla A&C humana/social.",codex_gpt
104,0,0,0,Sin falla relevante,"Acuerdo: base oficial PNADC, no falla A&C.",codex_gpt
105,1,0,1,FF clasica,Falla A&C: entrevistas no probabilisticas y conclusiones sobre moradores/barrios y desigualdad social local.,codex_gpt
106,0,0,0,Sin falla relevante,"No activa falla A&C: hay encuesta humana, pero con diseño probabilístico/estratificado documentado.",codex_gpt
107,0,0,0,Sin falla relevante,"Falso positivo de Gemini: estudio econométrico de empresas, fuera del blanco A&C humano-social.",codex_gpt
108,1,0,1,FF clasica,Activa A&C por entrevistas comunitarias no probabilísticas y afirmación general sobre migración y conocimiento etnobotánico.,codex_gpt
109,1,0,1,FF clasica,"Duplicado temático del 108; Gemini lo marcó como no falla, pero sí hay A&C fuerte.",codex_gpt
110,1,1,1,FF con reconocimiento,"Falla A&C: muestra voluntaria universitaria y conclusiones tecnológicas generales; el abstract pide estudios más amplios, por eso B=1.",codex_gpt
111,1,1,1,FF con reconocimiento,"A&C fuerte, aunque el artículo reconoce limitaciones de experiencia/perfil muestral.",codex_gpt
112,1,0,1,FF clasica,Falso negativo de Gemini: muestra escolar acotada/no probabilística con conclusión pedagógica general.,codex_gpt
113,1,0,1,FF clasica,A&C fuerte por encuesta online de conveniencia y recomendación/diagnóstico de mercado-servicio.,codex_gpt
114,1,0,1,FF clasica,A&C fuerte: muestra voluntaria en tema sensible con conclusiones sociales amplias.,codex_gpt
115,1,0,1,FF clasica,A&C fuerte muy claro: el propio artículo declara muestreo no probabilístico intencional y luego afirma efectividad educativa.,codex_gpt
116,0,1,0,Sin falla relevante,No falla A&C: fuente secundaria armonizada y advertencia de no causalidad.,codex_gpt
117,0,0,0,Sin falla relevante,No activa A&C: base oficial poblacional/probabilística.,codex_gpt
118,1,0,1,FF clasica,A&C fuerte por sostener inferencias nacionales/políticas con encuesta online no probabilística como evidencia central.,codex_gpt
119,0,1,0,Sin falla relevante,"No falla A&C: fuente oficial representativa, aunque con limitaciones analíticas reconocidas.",codex_gpt
120,1,1,1,FF con reconocimiento,Falso negativo de Gemini: muestra local no probabilística con inferencia de política/cuidado infantil; el artículo reconoce tamaño muestral limitado.,codex_gpt
121,1,1,1,FF con reconocimiento,Falso negativo de Gemini: muestra voluntaria local y conclusiones sanitarias generales; el artículo reconoce limitación por recolección virtual y posible exclusión.,codex_gpt
122,1,0,1,FF clasica,"Falso negativo de Gemini: aunque cualitativo, la base es extremadamente pequeña e intencional y sostiene inferencias sociales amplias.",codex_gpt
123,0,1,0,Sin falla relevante,"No falla A&C: diseño probabilístico por conglomerados, aunque con limitaciones analíticas.",codex_gpt
124,1,0,1,FF clasica,A&C fuerte: respuestas parciales/autoseleccionadas de UFAs y conclusiones regionales/organizacionales amplias.,codex_gpt
125,0,0,0,Sin falla relevante,No activa A&C: estudio de caso arquitectónico/material.,codex_gpt
126,1,0,1,FF clasica,Falso negativo de Gemini: encuesta profesional no aleatoria con inferencias generales sobre diseño hospitalario.,codex_gpt
127,0,0,0,Sin falla relevante,No falla A&C: análisis teórico-iconográfico de arquitectura.,codex_gpt
128,0,0,0,Sin falla relevante,"Falso positivo de Gemini: análisis documental/arquitectónico, fuera del blanco A&C.",codex_gpt
129,0,0,0,Sin falla relevante,No falla A&C: ensayo/revisión histórica de arquitectura.,codex_gpt
130,0,1,0,Sin falla relevante,Falso positivo de Gemini: estudio econométrico con datos de proyectos/estadística agrícola; no A&C muestral humano-social clásico.,codex_gpt
131,0,0,0,Sin falla relevante,No falla A&C: datos secundarios WVS y desarrollo metodológico de análisis de redes.,codex_gpt
132,1,0,1,FF clasica,"A&C fuerte: corpus documental institucional no probabilístico con inferencia amplia sobre clase, raza y sistema penal.",codex_gpt
133,0,0,0,Sin falla relevante,"No falla A&C: estudio biomédico de laboratorio, fuera del blanco social de muestreo/opinión.",codex_gpt
134,1,0,1,FF clasica,Falso negativo de Gemini: muestra cualitativa no probabilística con conclusiones antropológicas generales sobre mercados costeros.,codex_gpt
135,1,1,1,FF con reconocimiento,"A&C fuerte con reconocimiento explícito: muestra no representativa, pero sostiene diagnóstico exploratorio nacional del colectivo.",codex_gpt
136,1,0,1,FF clasica,Falso negativo de Gemini: muestra incidental de perfiles/publicaciones y conclusiones generales sobre estilos de comunicación política.,codex_gpt
137,1,1,1,FF con reconocimiento,Falso negativo de Gemini: n=9 no probabilístico sostiene una propuesta metodológica general; reconoce necesidad de más validación.,codex_gpt
138,0,0,0,Sin falla relevante,"No falla A&C: revisión biomédica con experiencia clínica, fuera del blanco social de muestreo no probabilístico.",codex_gpt
139,0,1,0,Sin falla relevante,"No falla A&C: estudio de fauna urbana, no encuesta humana/social.",codex_gpt
140,1,1,1,FF con reconocimiento,Falso negativo de Gemini: muestra local voluntaria con recomendaciones clínicas generales; el artículo reconoce límites de causalidad y generalización.,codex_gpt
141,1,1,1,FF con reconocimiento,"Falso negativo de Gemini: muestreo por conveniencia explícito y conclusiones de reducción de daños/locales, aunque reconoce no representatividad.",codex_gpt
142,0,0,0,Sin falla relevante,No falla A&C: análisis secundario de encuesta regional establecida.,codex_gpt
143,1,0,1,FF clasica,Falso negativo de Gemini: el artículo declara ausencia de muestreo y sostiene implicaciones de política/intervención.,codex_gpt
144,1,0,1,FF clasica,A&C fuerte: encuesta estudiantil institucional sin muestreo probabilístico documentado y conclusiones generales sobre estudiantes universitarios.,codex_gpt
145,0,1,0,No evaluable,"No evaluable: carta/respuesta editorial, no artículo auditable autónomo.",codex_gpt
146,1,0,1,FF clasica,A&C fuerte: muestra hospitalaria no probabilística con conclusión poblacional sobre gestantes.,codex_gpt
147,0,0,0,No evaluable,"No evaluable: respuesta editorial, excluir de acuerdo IA-humano.",codex_gpt
148,0,1,0,Sin falla relevante,"Falso positivo de Gemini: muestra probabilística representativa por ciudad, no falla A&C.",codex_gpt
149,0,0,0,Sin falla relevante,No falla A&C: estudio institucional/censal de cohortes universitarias con alcance acotado.,codex_gpt
150,1,1,1,FF con reconocimiento,A&C fuerte con reconocimiento explícito: no hay muestreo aleatorio y se derivan recomendaciones curriculares/laborales.,codex_gpt
151,0,0,0,Sin falla relevante,Muestreo probabilistico por conglomerados; no hay falla A&C.,codex_gpt
152,1,0,0,Debilidad importante,Unidades lecheras seleccionadas por ruta de recoleccion; comparacion antes-despues acotada sin extrapolacion fuerte.,codex_gpt
153,0,0,0,Sin falla relevante,Experimento zootecnico con diseno completamente aleatorizado; no aplica falla A&C de muestreo poblacional.,codex_gpt
154,0,0,0,Sin falla relevante,Analisis ambiental/ecologico con registros de material particulado e IRA; no hay muestra no probabilistica de participantes.,codex_gpt
155,1,0,1,FF clasica,Muestra de empleados de una filial sin diseno probabilistico y regresiones usadas para sostener conclusiones generales de talento humano.,codex_gpt
156,1,0,0,Debilidad importante,Muestra de graduados para PSM sin marco probabilistico claro; estimacion acotada al programa y sin salto poblacional fuerte.,codex_gpt
157,0,0,0,Sin falla relevante,Muestreo estratificado de empresas informales; no se configura A&C.,codex_gpt
158,1,0,1,FF clasica,Muestra autoseleccionada de seguidores/clientes y correlaciones usadas para afirmar impacto del modelo 4F en posicionamiento de marca.,codex_gpt
159,0,0,0,Sin falla relevante,Muestreo probabilistico aleatorio simple con representatividad declarada; no hay A&C.,codex_gpt
160,0,0,0,Sin falla relevante,Instituciones y escolares seleccionados aleatoriamente; intervencion educativa sin falla A&C.,codex_gpt
161,1,0,0,Debilidad importante,Muestreo por conveniencia de estudiantes de enfermeria; inferencia local sin extrapolacion poblacional fuerte.,codex_gpt
162,1,1,1,FF con reconocimiento,Muestreo por conveniencia en mujeres mayores de 35; reconoce no representatividad pero deriva factores asociados al retorno laboral.,codex_gpt
163,0,0,0,Sin falla relevante,Historias clinicas seleccionadas mediante muestreo aleatorio sistematico; no hay A&C.,codex_gpt
164,1,1,1,FF con reconocimiento,Participacion voluntaria/no probabilistica; reconoce baja generalizabilidad pero afirma efecto significativo del programa gatekeeper.,codex_gpt
165,1,0,0,Debilidad importante,Muestreo por criterio y referido de cuidadores; descripcion local sin extrapolacion inferencial fuerte.,codex_gpt
166,0,0,0,Sin falla relevante,Censo/local de 44 estudiantes de odontologia en un curso; conclusion acotada al simulador y no falla A&C.,codex_gpt
167,1,1,1,FF con reconocimiento,Muestreo por conveniencia con tamano reducido reconocido; inferencia y conclusion amplia sobre QuimAR en secundaria.,codex_gpt
168,1,0,1,FF clasica,Muestreo intencional de docentes/estudiantes universitarios y evaluacion usada para validar una herramienta patrimonial de alcance amplio.,codex_gpt
169,1,0,1,FF clasica,Muestra intencional de preescolares y prueba Wilcoxon usada para recomendar la intervencion educativa.,codex_gpt
170,1,1,0,Debilidad importante,Muestreo por conveniencia en dos instituciones; reconoce condicionamiento contextual y no obtiene relacion significativa fuerte.,codex_gpt
171,1,0,0,Debilidad importante,Censo/conveniencia de 36 estudiantes de una unidad; base local sin extrapolacion A&C fuerte.,codex_gpt
172,0,0,1,Debilidad importante,No declara claramente base muestral; usa chi-cuadrado para sostener mejora en primaria; problema de reporte mas que A&C demostrada.,codex_gpt
173,1,0,1,FF clasica,Baja respuesta a cuestionario parlamentario y muestra de iniciativas; concluye uso generalizado de IA en la camara.,codex_gpt
174,0,0,0,Sin falla relevante,Muestra censal de docentes de cuatro instituciones; no hay muestreo no probabilistico inferencial A&C.,codex_gpt
175,0,0,0,Sin falla relevante,Muestreo probabilistico de beneficiarios con representatividad declarada; no hay falla A&C.,codex_gpt
176,0,0,0,Sin falla relevante,Muestreo aleatorio simple de usuarios con representatividad declarada; no hay A&C.,codex_gpt
177,1,0,1,FF clasica,Muestra intencional de consumidores y Spearman usado para validar relacion general entre 4C y preferencia del consumidor.,codex_gpt
178,0,0,0,Sin falla relevante,Muestreo probabilistico de comerciantes; correlaciones con base representativa local.,codex_gpt
179,0,0,0,Sin falla relevante,Muestreo aleatorio simple de trabajadores con representatividad declarada; no hay A&C.,codex_gpt
180,1,0,1,FF clasica,Encuesta a participantes sin procedimiento probabilistico claro y conclusiones sobre acogida/desarrollo agroturistico local.,codex_gpt
181,0,0,0,Sin falla relevante,Muestreo probabilistico aleatorio simple de usuarios del mercado; no hay A&C.,codex_gpt
182,1,1,1,FF con reconocimiento,Muestra finita de emprendimientos sin seleccion probabilistica clara; generaliza a Manabi y pide extender para confirmar generalizacion.,codex_gpt
183,0,0,0,Sin falla relevante,Muestreo probabilistico aleatorio simple de clientes; no se configura A&C.,codex_gpt
184,0,0,0,Sin falla relevante,Analisis de corpus de publicaciones en X mediante KDD; no hay muestreo no probabilistico de unidades humanas encuestadas.,codex_gpt
185,0,0,0,No evaluable,Compilacion de comunicaciones orales; no es articulo auditable autonomo.,codex_gpt
186,0,0,0,No evaluable,Compilacion de posters/resumenes; no es articulo auditable autonomo.,codex_gpt
187,0,0,0,Sin falla relevante,Estudio cualitativo con entrevistas; no busca inferencia estadistica poblacional A&C.,codex_gpt
188,0,0,0,Sin falla relevante,Estudio cualitativo exploratorio; no corresponde a inferencia estadistica poblacional A&C.,codex_gpt
189,1,1,1,FF con reconocimiento,Encuesta/seguimiento con respuesta parcial; reconoce restriccion de generalizacion pero deriva implicancias de salud publica.,codex_gpt
190,1,0,0,Debilidad importante,Muestra clinica pequena de pacientes con angioedema; asociaciones exploratorias acotadas a la muestra.,codex_gpt
191,1,1,1,FF con reconocimiento,Participantes reclutadas por redes sociales; reconoce limitaciones pero modela sintomas post-COVID como predictores de incontinencia.,codex_gpt
192,1,0,1,FF clasica,Muestra clinica/adolescente no probabilistica con ANOVA y conclusion preventiva general sobre ejercicio y polimorfismo ACE.,codex_gpt
193,0,0,0,Sin falla relevante,Muestra aleatoria simple calculada para poblacion penitenciaria; generalizacion justificada por diseno probabilistico.,codex_gpt
194,1,1,1,FF con reconocimiento,Serie retrospectiva pequena sin aleatorizacion; reconoce sesgos y aun sostiene efectividad del tratamiento artroscopico.,codex_gpt
195,0,1,0,Sin falla relevante,"Ensayo prospectivo randomizado; aunque reconoce baja generalizabilidad, no hay falla A&C de muestreo observacional.",codex_gpt
196,1,1,1,FF con reconocimiento,Muestra clinica de obesos/control no pareada; reconoce limitaciones y generaliza diferencias funcionales en obesidad morbida.,codex_gpt
197,1,1,1,FF con reconocimiento,Cohorte retrospectiva de conveniencia; reconoce tamano pequeno y aun infiere beneficio quirurgico para DMD.,codex_gpt
198,1,0,1,FF clasica,Serie hospitalaria retrospectiva usada para describir perfil epidemiologico y riesgos de fracturas de tibia sin advertencia clara.,codex_gpt
199,1,1,0,Debilidad importante,Serie hospitalaria pequena con sesgos y perdida de seguimiento; conclusiones principalmente descriptivas del servicio.,codex_gpt
200,1,1,0,Debilidad importante,Muestra clinica homogenea de primiparas; reconoce limites de generalizacion y no identifica asociaciones en regresion.,codex_gpt
201,0,0,0,Sin falla relevante,Estudio cualitativo con enfermeros; no hay inferencia estadistica poblacional que active falla A&C.,codex_gpt
202,1,0,1,FF clasica,Cohorte retrospectiva unicentrica de pacientes Takayasu; usa regresiones y proyecta indicador pronostico sin reconocimiento claro de generalizacion.,codex_gpt
203,1,0,0,Debilidad importante,Submuestra de participantes con insuficiencia cardiaca dentro de ELSA-Brasil; conclusiones mayormente acotadas a la cohorte.,codex_gpt
204,1,0,1,FF clasica,Cohorte prospectiva hospitalaria pequena en HFpEF; propone puntaje pronostico con alcance clinico amplio sin advertencia visible.,codex_gpt
205,1,1,1,FF con reconocimiento,"Cuentas de cardiologos identificadas por autodescripcion en Twitter/X; reconoce corte temporal y cobertura limitada, pero concluye sobre cardiologos brasilenos.",codex_gpt
206,1,1,1,FF con reconocimiento,Muestra prospectiva pequena de cardiomiopatia chagasica y controles; reconoce limitaciones metodologicas y concluye mecanismo hemodinamico general.,codex_gpt
207,1,1,1,FF con reconocimiento,Analisis bibliometrico/CV de investigadoras seleccionadas; reconoce restricciones de cobertura y aun infiere disparidades de genero.,codex_gpt
208,1,0,1,FF clasica,Encuesta/grupos sobre whistleblowing con participantes reclutados no probabilisticamente; extrapola barreras en academia sin cautela suficiente.,codex_gpt
209,0,0,0,No evaluable,"PDF corresponde a anales/resumenes de simposio, no a un articulo empirico unico auditable.",codex_gpt
210,1,1,1,FF con reconocimiento,Estudio transversal en 111 pacientes de hemodialisis; reconoce necesidad de estudios longitudinales y aun concluye sobre pacientes ESRD en HD.,codex_gpt
211,1,1,1,FF con reconocimiento,Cohorte prospectiva unicentrica de COVID-19 critico con AKI; declara limites de generalizacion y mantiene conclusion clinica amplia.,codex_gpt
212,1,1,1,FF con reconocimiento,Encuesta a nefrologos con muestreo no probabilistico/snowball; reconoce representatividad regional limitada y concluye sobre MR en Brasil.,codex_gpt
213,1,0,1,FF clasica,Estudio prospectivo pequeno de biomarcadores en CABG; infiere asociacion del procedimiento con cambios biologicos sin limitacion clara.,codex_gpt
214,0,0,0,Sin falla relevante,"Serie retrospectiva de tumores en un centro, con descripcion del perfil atendido; no hay extrapolacion fuerte fuera del servicio.",codex_gpt
215,1,1,0,Debilidad importante,Serie retrospectiva pediatrica pequena sobre VPS por residentes; explora factores y resultados sin convertirlos en inferencia poblacional fuerte.,codex_gpt
216,1,0,0,Debilidad importante,"Evaluacion documental/descriptiva de libretas de gestantes; muestra institucional incompleta, pero conclusiones principalmente descriptivas.",codex_gpt
217,1,0,0,Debilidad importante,Registros retrospectivos de STEMI/PCI de hospital; estima mortalidad y asociaciones del servicio sin extrapolacion poblacional fuerte.,codex_gpt
