pdf_id,codex_A,codex_B,codex_C,codex_D,gemini_A,gemini_B,gemini_C,gemini_D,claude_A,claude_B,claude_C,claude_D,estado_D,estado_ABCD,codex_notas,gemini_notas,claude_notas
11,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Codex=Gemini contra Claude,desacuerdo,"Aunque hay calculo muestral, la adhesion voluntaria de granjas rompe base probabilistica.","Muestreo de granjas voluntario (no probabilístico) y se extrapola la prevalencia a la población de granjas tecnificadas de São Paulo, aunque se menciona la participación voluntaria.","Granjas seleccionadas voluntariamente (20 de 41), con muestreo probabilístico de animales pero extrapolación a 'granjas tecnificadas de São Paulo' sin advertencia sobre sesgo de selección."
12,0,1,1,Debilidad importante,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Gemini=Claude contra Codex,desacuerdo,"Hay posible sesgo operativo, pero no A de muestreo no probabilistico.","Muestreo no probabilístico (7 mataderos específicos, sesgo en recolección) con inferencia estadística y extrapolación a la industria avícola, aunque se advierten limitaciones de muestreo.","Muestreo con sesgos sistemáticos no aleatorios (43.6% muestras lunes, 62.6% primer turno). Advierte sesgo de implementación pero extrapola resultados a cadena regional."
13,0,0,0,Sin falla relevante,0,0,0,No evaluable,0,0,0,No evaluable,Gemini=Claude contra Codex,desacuerdo,Caso retrospectivo clinico; no corresponde A&C aunque haya porcentajes.,El estudio es una serie de casos retrospectiva que utiliza solo estadística descriptiva y no realiza inferencia estadística formal a una población mayor.,Serie clínica retrospectiva descriptiva. Usa explícitamente 'estatística descritiva' sin inferencia estadística formal. No hay población objetivo de referencia; objetivo es caracterizar hallazgos de 1
14,0,0,0,Sin falla relevante,1,1,1,FF con reconocimiento,1,0,1,FF clasica,3 distintos,desacuerdo,"Estudio animal controlado, no muestreo poblacional.","Muestreo por conveniencia (26 ovelhas) con inferencia y extrapolación a la producción ovina, pero se reconoce la necesidad de estudios específicos para generalizar.","Muestra no probabilística (26 ovejas de biotério); generaliza a 'producción ovina' en título, objetivos y conclusiones sin advertir suficientemente limitaciones muestrales."
15,0,1,0,Sin falla relevante,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,Serie clinico-patologica retrospectiva; no A&C.,Muestreo no probabilístico (conveniencia de animales internados) y extrapolación implícita de hallazgos epidemiológicos a una población mayor de bovinos sin advertir explícitamente las limitaciones.,Serie de casos retrospectiva de una institución. Sin proceso de muestreo descrito ni población objetivo definida. Análisis descriptivo de cohorte institucional.
16,0,0,0,Sin falla relevante,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,Estudio experimental animal; no falla por muestreo poblacional.,Muestreo no probabilístico (conveniencia) de 18 corderos y extrapolación explícita a la población de corderos Dorper x Santa Inês sin advertir la limitación.,"Experimento agrícola controlado. Los 18 corderos son unidades experimentales asignadas a tratamientos (vedación silaje), no muestra de población objetivo. Sin pregunta muestral clásica."
17,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,Encuesta seroepidemiologica regional desde muestra no probabilistica.,"Muestreo no probabilístico (conveniencia) y extrapolación explícita de los resultados a la población equina de Santarém-Pará y sus implicaciones para la salud pública, sin advertir las limitaciones.",Muestreo no probabilístico (sin descripción de procedimiento de selección de 15 propiedades ni de 88 caballos) con extrapolación a región de Santarém-Pará; no advierte limitaciones muestrales explícit
18,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,Convenience sample con conclusiones comparativas por pais/genero.,"Muestreo no probabilístico (conveniencia). Aunque advierten que los resultados no son generalizables, la presentación de los hallazgos y el uso de inferencia estadística sugieren una extrapolación imp","Muestreo de conveniencia explícito (Portugal n=113, Rusia n=752). Autores advierten 'no generalizable' pero aplican tests inferenciales (Mann-Whitney U, factor analysis) que presuponen generalización."
19,1,1,0,No evaluable,1,0,1,FF clasica,1,1,0,Debilidad importante,3 distintos,desacuerdo,No deberia integrar denominador auditable como falla A&C; es articulo teorico-interpretativo con datos secundarios/previos.,Usa muestras no probabilísticas (estudiantes universitarios de conveniencia en Goiás) y extrapola explícitamente los hallazgos a la población brasileña general sin advertir adecuadamente las limitacio,P1 (n=80) y P2 (n≈900) son muestras no-probabilísticas de estudiantes universitarios de una institución privada. No extrapolan explícitamente a población brasileña; usan datos como evidencia interpret
20,0,0,0,Sin falla relevante,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,Hay muestra aleatoria declarada y alcance local de diseno.,Muestreo no probabilístico (especialistas y usuarios sin método claro) y extrapolación implícita de preferencias a una población mayor sin advertir limitaciones.,"Estudio evaluativo local. Aunque incluye muestra de usuarios (n=109), el objetivo es evaluar 3 diseños específicos en UNA institución con análisis puramente descriptivo (porcentajes). Sin inferencia e"
21,1,0,1,FF clasica,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,Gemini=Claude contra Codex,desacuerdo,Encuesta online no probabilistica con perfilamiento de consumidores.,"El estudio usó muestreo no probabilístico (redes de contacto) y generalizó explícitamente los resultados a la población brasileña, aunque reconoció el sesgo muestral en la discusión.","Muestreo por conveniencia (redes de contacto, redes sociales, emails). Reconoce sesgo hacia perfil de autores pero generaliza a Brasil. Extrapola conclusiones a nivel nacional sin limitar inferencias."
22,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,Muestra pequena no probabilistica con lectura municipal/cadena productiva.,Muestreo intencional no probabilístico (15 agroextractivistas) con extrapolación implícita de resultados descriptivos a la población de Codajás sin advertir limitaciones.,"Muestreo intencional de 15 casos sin inferencia estadística formal. Análisis exclusivamente descriptivo; sin pruebas, IC ni extrapolación paramétrica a población mayor de agroextractivistas."
23,1,1,0,No evaluable,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Claude contra Gemini,desacuerdo,No es inferencia estadistica poblacional; IA parece penalizar muestreo cualitativo intencional.,Muestreo no probabilístico (intencional) y conclusiones extrapoladas a agricultores familiares sin advertir limitaciones.,"Estudio cualitativo-descriptivo sin inferencia estadística. Usa muestreo intencional (técnica estándar en investigación cualitativa), análisis temático y estadística descriptiva (frecuencias, conteos)"
24,1,1,0,Debilidad importante,1,0,1,FF clasica,1,0,0,Debilidad importante,Codex=Claude contra Gemini,desacuerdo,"Intervencion local; debilidad posible, pero no A&C fuerte.",Muestreo de voluntarios ('expressing interest in participating') y se generalizan las conclusiones sobre la efectividad de la intervención a 'small-scale dairy farms' sin advertir las limitaciones.,"Muestreo de voluntarios (14/64 productores que expresaron interés) sin advertencia explícita de sesgo de selección. Alcance limitado a Bastos mitiga extrapolación, pero no elimina problema muestral."
25,1,0,1,FF clasica,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Gemini contra Claude,desacuerdo,Generaliza eficiencia productiva desde dos unidades seleccionadas.,Muestreo no probabilístico (dos granjas seleccionadas por conveniencia) y extrapolación explícita de resultados a la eficiencia económica general de productores sin advertir limitaciones.,"Estudio comparativo de 2 granjas seleccionadas por conveniencia. Problema metodológico (validación de tecnología), no epidemiológico-poblacional con población objetivo clara."
26,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Codex=Gemini contra Claude,desacuerdo,Conveniencia hospitalaria con inferencia regional.,"Muestreo de conveniencia en hospital veterinario. Se reconoce que la alta ocurrencia es esperada en esta población, pero se extrapola la endemicidad a la población canina urbana.",Muestra de conveniencia (hospital) presentada como 'survey' de la región semiárida. Extrapolación a 'poblaciones caninas urbanas' y 'diferentes áreas geográficas de Brasil' sin advertencia clara de li
27,1,0,1,FF clasica,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Gemini contra Claude,desacuerdo,Lectura regional desde propiedades no probabilisticas.,Muestreo no probabilístico (14 fincas de conveniencia) y extrapolación explícita de los resultados a la región metropolitana sin advertir las limitaciones.,"Estudio traslacional con muestras clínicas de laboratorio (leche de vacas). Conclusión principal biológica (patrones de resistencia bacteriana in vitro), no epidemiológica de población animal."
28,0,0,1,Debilidad importante,0,0,1,Sin falla relevante,0,0,1,Sin falla relevante,Gemini=Claude contra Codex,desacuerdo,No cumple A; por tanto no es falla fuerte A&C.,"El estudio usa muestreo probabilístico estratificado y selección por sorteo para estimar la población animal y el conocimiento de tutores en el área urbana, diseño apropiado para la inferencia.",Muestreo probabilístico estratificado con n calculado según fórmula estándar. Extrapolación de ratios animal:habitante al municipio sin pretender generalizar a contextos diferentes. No cumple A&C junt
29,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,"Cobertura parcial relevante, pero no probabilistica y con lectura estatal.","Muestreo no probabilístico (difusión en grupo digital y contacto telefónico) con una muestra pequeña (11 productores) que se usa para describir y generalizar el ""escenario actual de la ranicultura en ","Encuesta a 11 productores por difusión digital y contacto telefónico (conveniencia, no aleatorio). Extrapola explícitamente hallazgos a toda la ranicultura en Rio de Janeiro sin advertir sobre sesgos "
30,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,Comparacion inferencial de razas desde animales seleccionados.,"Muestreo de conveniencia en una sola granja, sin advertir limitaciones, y se extrapola implícitamente a las razas en general para contribuir a estudios de cría.",Animales obtenidos de una granja específica en Ankara (muestreo de conveniencia). Generalizan sobre razas CAM y Malya sin advertir limitaciones geográficas/contextuales. Frases como 'Merino genotype h
31,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,"Intento cercano a censo de asociación, pero la baja respuesta voluntaria introduce autoselección; mantiene inferencia al sistema productivo.",Muestreo no probabilístico (baja tasa de respuesta de una encuesta por correo a voluntarios) y se extrapola explícitamente a la población de productores sin advertir adecuadamente las limitaciones.,"Muestra de respuesta voluntaria (31.4%, n=59/194). Los autores generalizan al 'sistema de producción Bísaro' sin reconocer riesgo de sesgo de no-respuesta. Justifican correo vs. web pero no discuten r"
32,0,0,0,Sin falla relevante,1,0,1,FF clasica,1,1,1,FF con reconocimiento,3 distintos,desacuerdo,No corresponde marcar A&C: el problema central no es extrapolación desde muestra no probabilística sino análisis de registros de concursos.,"Muestreo no probabilístico (caballos de exhibición nacional, 'mejores especímenes') y extrapolación explícita a las razas y generaciones futuras sin advertir la limitación inferencial.",No-probabilístico (concursos únicamente). Reconocen limitaciones pero extrapolan a futuras generaciones sin datos. Conclusión sobre método de selección no fundamentada en datos de descendencia.
33,0,0,0,Sin falla relevante,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,Diseño experimental animal; no encaja en la falla A&C de encuesta/muestreo humano no probabilístico.,Muestreo no probabilístico (intencional por frecuencia de mordida) y se extrapolan las conclusiones a la población general de cerdos sin advertir las limitaciones.,"Diseño experimental comparativo, no muestreo inferencial. Intervenciones estandarizadas (novel object/arena tests) comparan razas y sexos. Objetivo es comparación de grupos bajo condiciones controlada"
34,0,0,0,Sin falla relevante,0,0,0,No evaluable,0,0,0,No evaluable,Gemini=Claude contra Codex,desacuerdo,No hay encuesta o muestreo no probabilístico con extrapolación poblacional.,"El estudio es un experimento controlado con animales de granja, no un estudio observacional o epidemiológico que requiera muestreo inferencial de una población objetivo en sentido social/epidemiológic",Experimento agrícola/veterinario con asignación aleatoria de tratamientos en granja comercial. No es estudio de muestreo inferencial poblacional sino prueba de eficacia de intervención dietética.
35,1,0,1,FF clasica,1,0,0,Debilidad importante,1,0,1,FF clasica,Codex=Claude contra Gemini,desacuerdo,No se documenta selección probabilística; los resultados se proyectan a la comunidad facultativa.,"Muestreo no probabilístico (voluntario/conveniencia) para caracterizar una población definida (facultad), lo que limita la inferencia estadística a dicha población.","Muestreo no probabilístico (autoselección, 13.2% tasa respuesta de ~730 personas), pero extracta conclusiones a 'entornos educativos' y 'políticas institucionales' sin advertir limitaciones inferencia"
36,1,1,1,FF con reconocimiento,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,"Aunque reconoce la limitación de tamaño muestral, sí combina muestra acotada con inferencias/recomendaciones amplias.",Muestreo no probabilístico (10 profesores) y extrapolación implícita a 'el profesorado' o 'sistema educativo chileno' sin advertir explícitamente las limitaciones de generalización.,Estudio exploratorio-descriptivo con n=10 docentes de conveniencia. No utiliza inferencia estadística formal (solo porcentajes descriptivos). Sin pregunta muestral clásica ni metodología de muestreo p
37,1,1,0,Debilidad importante,1,1,0,Debilidad importante,1,1,0,Debilidad importante,3 acuerdo,3 acuerdo,"Hay A, pero no veo C suficientemente fuerte para clasificar A&C.","Muestreo no probabilístico intencionado limita la representatividad de los hallazgos, aunque los autores reconocen esta limitación y acotan las conclusiones a la muestra.","Muestreo no probabilístico intencionado (A=Si), pero sin extrapolación explícita a población mayor (C=No). Conclusiones acotadas a una universidad. Reconocen limitaciones."
38,1,0,1,FF clasica,1,1,0,Debilidad importante,1,1,0,Debilidad importante,Gemini=Claude contra Codex,desacuerdo,"La IA lo dejó pasar, pero el texto declara explícitamente muestra no probabilística y generaliza al perfil docente institucional.","El estudio usa muestreo no probabilístico, pero sus conclusiones se acotan a la universidad estudiada sin extrapolar explícitamente a una población mayor. Además, advierte sobre el tipo de muestreo.","Muestreo no probabilístico intencional (submuestra teórica por facultad), pero conclusiones acotadas explícitamente a Universidad Arturo Prat sin extrapolación a población docente mayor."
39,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,Base local no probabilística con inferencia a desempeño de genotipos; A&C razonable.,Muestreo no probabilístico de un único sitio experimental y extrapolación explícita a ganado lechero en condiciones subtropicales de México sin advertir la limitación.,"Muestreo de una única granja experimental sin probabilismo (n=171 vacas, 1996-2011). Busca contribuir al conocimiento sobre ganado lechero subtropical mexicano, pero extrapolación implícita sin advert"
40,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,"Aunque usa registros de faena, la inferencia sanitaria se proyecta al área de influencia; la selección depende de animales faenados en ese centro y periodo.",Muestreo no probabilístico (conveniencia/consecutivo en un solo matadero por 4 meses) y se extrapola explícitamente a la provincia de Huaura sin advertir esta limitación.,"Datos de 2198 bovinos de matadero (muestreo consecutivo/conveniencia) analizados con inferencia estadística (IC, chi-cuadrado). Concluyen explícitamente sobre 'prevalencia en bovinos de la provincia d"
41,1,0,1,FF clasica,1,0,1,FF clasica,0,0,1,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,"Hay cálculo de tamaño muestral, pero no procedimiento probabilístico de selección; las conclusiones se proyectan al cantón.",Muestreo de UPA no probabilístico (selección no aleatoria descrita) y extrapolación de resultados a la población del cantón sin advertir limitaciones.,"Muestreo probabilístico (método proporciones, IC90%, error 10%) pero vago en especificación; inconsistencia: menciona 113 UPAs pero reporta 126 encuestadas; extrapolación a 2235 UPAs sin discutir limi"
42,1,0,1,FF clasica,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Gemini contra Claude,desacuerdo,Caso mixto con datos de encuesta no probabilística usados para caracterizar población barrial/política pública.,Muestreo no probabilístico (caso de estudio intencional y encuestas/fichas sin detalle de selección) con extrapolación explícita a asentamientos informales del DMQ sin advertir limitaciones.,"Estudio de caso cualitativo-cuantitativo. Colinas del Norte se selecciona explícitamente como 'caso de estudio típico', no como muestra probabilística. No hay pretensión de inferencia estadística clás"
43,0,0,0,Sin falla relevante,1,0,1,FF clasica,1,1,1,FF con reconocimiento,3 distintos,desacuerdo,"Puede tener límites de subregistro, pero no es la falla A&C definida: no hay muestreo no probabilístico de participantes con extrapolación.","El estudio usa datos de denuncias (muestreo no probabilístico) para estimar la probabilidad de violencia en mujeres de Bogotá, extrapolando sin advertir explícitamente la limitación de la muestra.","Usa denuncias (muestra conveniencia) para generalizar a mujeres de Bogotá. Reconoce sesgo de no denuncias y acceso desigual, pero extrapola igual."
44,0,0,0,No evaluable,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Claude contra Gemini,desacuerdo,"No aplicable a A&C; Gemini parece haber castigado extrapolación temática, pero el texto incluso advierte límites de representatividad.","El artículo utiliza muestreo no probabilístico (entrevistas, datos de ciencia ciudadana) y extrapola explícitamente datos de Bogotá a nivel nacional para estimar avituristas sin advertir claramente la",Artículo de análisis contextual y revisión de literatura sobre turismo post-conflicto. Incluye datos descriptivos e ilustrativos pero sin inferencia estadística formal ni pregunta de generalización de
45,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,3 acuerdo,3 acuerdo,"Reconoce limitaciones, pero mantiene afirmaciones de efectividad transferibles desde una muestra voluntaria de aula.","Muestreo por conveniencia y extrapolación a población mayor, aunque se reconoce la limitación de generalizabilidad.","Muestreo por conveniencia (44 de 67 estudiantes, una institución chilena). Reconoce ser action research sin generalización pretendida, pero concluye que 'la instrucción de estrategias de lectura mejor"
46,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,0,0,0,No evaluable,Codex=Gemini contra Claude,desacuerdo,"Muestra de aula muy localizada con extrapolación pedagógica amplia, aunque se advierten limitaciones.","El estudio usa muestreo no probabilístico (conveniencia, 19 estudiantes de una clase) y, a pesar de reconocer la limitación del número de participantes, generaliza los hallazgos al campo de la educaci","Estudio de implementación/intervención didáctica localizada en 1 aula (N=19), no estudio de muestreo inferencial. Preguntas de investigación sobre efectividad de método IBL, no sobre representatividad"
47,1,0,0,Debilidad importante,1,1,1,FF con reconocimiento,1,0,1,FF clasica,3 distintos,desacuerdo,"Hay muestra escolar no probabilística, pero el encuadre explícito como estudio de caso reduce C; no clasifico A&C fuerte.","Muestreo no probabilístico (conveniencia) y, aunque se menciona como 'estudio de caso', se extrapolan los resultados a 'los estudiantes' en general y se extraen conclusiones amplias.","Muestreo de conveniencia de un único centro escolar + pruebas estadísticas (U Mann-Whitney, χ²) + conclusiones generalizadas sin reconocer limitación muestral."
48,1,0,1,FF clasica,1,1,1,FF con reconocimiento,1,0,1,FF clasica,Codex=Claude contra Gemini,desacuerdo,A explícita y conclusiones sobre constructos estudiantiles más allá del grupo intacto.,"Muestreo no probabilístico de estudiantes de psicología de una universidad privada, pero el título y resumen generalizan a 'estudiantes universitarios de Arequipa'. Se advierte el tipo de muestreo.","Muestreo no probabilístico (grupos intactos) de 157 estudiantes. Usa inferencia estadística (t de Student, correlación Pearson, regresión lineal). Extrapola a 'estudiantes universitarios' sin adverten"
49,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,El propio método declara búsqueda de generalización pese a cuotas y autoselección.,El estudio utiliza un muestreo no probabilístico por cuotas y explícitamente busca la generalización de resultados a la población de académicos normalistas de México sin advertir las limitaciones de e,"Muestreo no probabilístico por cuotas (312/1422) con extrapolación explícita a profesión académica normalista de México. El artículo afirma ""permite inferir"" cambios en toda la población sin reconocer"
50,1,0,1,FF clasica,1,0,1,FF clasica,1,0,0,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,Encuesta no probabilística con modelo confirmatorio y extrapolación institucional/regional.,Muestreo no probabilístico intencional con inferencia estadística y extrapolación de resultados a la población de estudiantes de educación superior virtual sin advertir explícitamente la limitación de,"Muestreo intencional sin probabilidad usado para validar modelo estructural. No advierten limitación fundamental: Cochran es probabilístico, pero usan intencional. Sin extrapolación explícita a poblac"
51,1,0,1,FF clasica,1,0,1,FF clasica,1,0,0,Debilidad importante,Codex=Gemini contra Claude,desacuerdo,Muestra empresarial documental no probabilística/por disponibilidad con inferencia sectorial.,Muestreo no probabilístico (por disponibilidad de datos) y extrapolación explícita a la población de MIPYMES comerciales en Bogotá sin advertir las limitaciones.,"Muestreo aparentemente no probabilístico (empresas de bases administrativas SIREM/PIE/SIIS) sin descripción clara de selección. Reporta promedios (11.6%, 7.8%) sin intervalos/incertidumbre. No extrapo"
52,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,Cinco casos/minas y trabajadores no seleccionados probabilísticamente sostienen conclusiones departamentales.,"El estudio seleccionó 5 minas de forma no probabilística, definiéndolas como su 'población'. Sin embargo, las conclusiones se extrapolan explícitamente a todas las minas de arcilla en La Guajira sin a","Muestreo no probabilístico (5 minas por conveniencia, n=72 trabajadores, sin justificación) con extrapolación a 'minería de arcilla en La Guajira'. No advierte limitaciones de validez externa."
53,1,0,1,FF clasica,1,0,1,FF clasica,1,0,1,FF clasica,3 acuerdo,3 acuerdo,Diseño de aula por conveniencia con extrapolación pedagógica fuerte.,Muestreo no probabilístico (conveniencia) de estudiantes de una universidad específica. Las conclusiones se extrapolan a docentes de ingeniería en general sin advertir las limitaciones de la muestra.,Muestreo de conveniencia (cursos asignados al docente). Extrapola recomendaciones a 'docentes ingenieros de programas de Ingeniería' sin advertir sobre límites de validez externa o generalización.
54,1,0,1,FF clasica,1,0,1,FF clasica,0,0,0,No evaluable,Codex=Gemini contra Claude,desacuerdo,Componente participativo con agricultores seleccionados intencionalmente y recomendaciones productivas generales.,Muestreo de agricultores no probabilístico (por conveniencia/intencional) y se extrapolan sus preferencias y viabilidad económica a una población mayor de agricultores sin advertir la limitación.,"Experimento agrícola de campo con diseño RCBD validado. Evalúa variedades de pastos, no población epidemiológica/social con muestreo inferencial."
55,0,0,0,Sin falla relevante,1,0,1,FF clasica,0,0,0,No evaluable,3 distintos,desacuerdo,"Experimento controlado con especies/forrajes, no encuesta o muestra humana no probabilística; las recomendaciones reconocen condiciones similares.","Muestreo de conveniencia de 5 bovinos sin advertir limitaciones, extrapolando resultados a una población mayor de ganado y a técnicos/ganaderos.","Experimento de evaluación técnica con animales. Los 5 bovinos son unidades experimentales para caracterizar propiedades de 20 especies forrajeras seleccionadas intencionalmente, no muestra poblacional"
56,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,1,1,1,FF con reconocimiento,3 acuerdo,3 acuerdo,"El artículo reconoce que el muestreo por conveniencia afecta representatividad, pero aun así deriva recomendaciones generales.","Muestreo no probabilístico (conveniencia) para población objetivo (profesores universitarios en Pakistán). Se reconoce la limitación del muestreo, pero se infiere a la población general.",Muestreo de conveniencia explícito en 550 profesores pakistaníes. Autores reconocen que 'non-probability technique lacks rigor' pero ejecutan SEM e infieren sobre población sin limitar conclusiones.
57,1,1,1,FF con reconocimiento,1,1,0,Debilidad importante,1,1,1,FF con reconocimiento,Codex=Claude contra Gemini,desacuerdo,"Reconoce que el muestreo restringe generalización, pero mantiene implicaciones para programa y salud mental infantil.","Muestreo no probabilístico intencionado, pero los autores reconocen explícitamente que restringe la generalización de los resultados. No hay extrapolación explícita de los hallazgos.","Muestreo intencionado no probabilístico (n=444, 3 comunas). Extrapola a 'estudiantado de educación primaria' sin especificar alcance. Advierte limitaciones pero generaliza igual."
